state_code,state,city,latitude,longitude
IN.21,Odisha,Angul,20.84089,85.10192
IN.13,Kerala,Angamāli,10.19055,76.38789
IN.19,Karnataka,Anekal,12.7111,77.69557
IN.40,Telangana,Andol,17.81458,78.07713
IN.25,Tamil Nadu,Anthiyur,11.57506,77.59043
IN.25,Tamil Nadu,Āndippatti,9.99797,77.62097
IN.12,Jammu and Kashmir,Anantnag,33.73068,75.15418
IN.02,Andhra Pradesh,Anantapur,14.67784,77.60813
IN.23,Punjab,Anandpur,31.23926,76.50253
IN.21,Odisha,Anandpur,21.21411,86.12492
IN.36,Uttar Pradesh,Anandnagar,27.10062,83.27156
IN.09,Gujarat,Anand,22.55251,72.9552
IN.02,Andhra Pradesh,Anakapalle,17.69134,83.00395
IN.25,Tamil Nadu,Anaimalai,10.58303,76.93441
IN.40,Telangana,Āmūr,18.79284,78.27666
IN.02,Andhra Pradesh,Amudālavalasa,18.41025,83.90295
IN.28,West Bengal,Āmta,22.58344,88.01039
IN.09,Gujarat,Amroli,21.25084,72.83878
IN.36,Uttar Pradesh,Amroha,28.90314,78.46984
IN.23,Punjab,Amritsar,31.62234,74.87534
IN.09,Gujarat,Amreli,21.59983,71.21169
IN.16,Maharashtra,Amravati,20.93333,77.75
IN.09,Gujarat,Amod,21.99317,72.87047
IN.25,Tamil Nadu,Ammāpettai,11.61975,77.74264
IN.25,Tamil Nadu,Ammāpettai,10.79476,79.31986
IN.25,Tamil Nadu,Ammāpattinam,10.01534,79.23137
IN.23,Punjab,Amloh,30.60837,76.23199
IN.52,Dadra and Nagar Haveli and Daman and Diu,Āmli,20.28333,73.01667
IN.28,West Bengal,Āmlāgora,22.84616,87.33559
IN.35,Madhya Pradesh,Amla,21.92485,78.12786
IN.19,Karnataka,Amīngarh,16.05662,75.94773
IN.03,Assam,Amingaon,26.18491,91.6786
IN.03,Assam,Amguri,26.81482,94.52614
IN.16,Maharashtra,Amgaon,21.37196,80.38446
IN.36,Uttar Pradesh,Amethi,28.01667,81.05
IN.36,Uttar Pradesh,Amethī,26.15696,81.80519
IN.24,Rajasthan,Amet,25.30609,73.9258
IN.25,Tamil Nadu,Ambur,12.79163,78.71644
IN.37,Chhattisgarh,Ambikāpur,23.11892,83.19537
IN.25,Tamil Nadu,Ambattur,13.09818,80.16152
IN.25,Tamil Nadu,Ambasamudram,8.71068,77.4519
IN.26,Tripura,Āmbāsa,23.936,91.85436
IN.10,Haryana,Ambāla,30.36099,76.79782
IN.16,Maharashtra,Ambājogāi,18.73312,76.38616
IN.36,Uttar Pradesh,Ambahta,29.85706,77.33583
IN.35,Madhya Pradesh,Ambāh,26.70423,78.22678
IN.37,Chhattisgarh,Ambāgarh Chauki,20.77644,80.74608
IN.16,Maharashtra,Ambad,19.61301,75.78906
IN.35,Madhya Pradesh,Amarwāra,22.2978,79.16943
IN.34,Bihar,Amarpur,25.03967,86.90247
IN.26,Tripura,Amarpur,23.5257,91.65879
IN.35,Madhya Pradesh,Amarpātan,24.31371,80.97703
IN.16,Maharashtra,Ambarnath,19.2,73.16667
IN.35,Madhya Pradesh,Amarkantak,22.67486,81.75908
IN.36,Uttar Pradesh,Amānpur,27.71222,78.73788
IN.35,Madhya Pradesh,Amānganj,24.42664,80.03579
IN.16,Maharashtra,Amalner,21.03983,75.05887
IN.02,Andhra Pradesh,Amalāpuram,16.57868,82.00609
IN.13,Kerala,Alwaye,10.10649,76.35484
IN.25,Tamil Nadu,Alwa Tirunagari,8.60635,77.93983
IN.25,Tamil Nadu,Ālwārkurichchi,8.7838,77.39524
IN.24,Rajasthan,Alwar,27.56246,76.625
IN.19,Karnataka,Alūr,12.97805,75.99094
IN.35,Madhya Pradesh,Alot,23.76336,75.55662
IN.30,Arunachal Pradesh,Along,28.16951,94.8006
IN.19,Karnataka,Alnāvar,15.42727,74.74111
IN.39,Uttarakhand,Almora,29.59713,79.65911
IN.25,Tamil Nadu,Allinagaram,10.02737,77.47815
IN.13,Kerala,Alappuzha,9.49004,76.3264
IN.16,Maharashtra,Allāpalli,19.43172,80.06377
IN.36,Uttar Pradesh,Allāhganj,27.5454,79.68715
IN.36,Uttar Pradesh,Prayagraj,25.44478,81.84322
IN.25,Tamil Nadu,Aliyābād,12.63168,79.21636
IN.28,West Bengal,Alīpur Duār,26.4835,89.52286
IN.07,Delhi,Alīpur,28.79862,77.13314
IN.36,Uttar Pradesh,Alīgarh,27.88145,78.07464
IN.24,Rajasthan,Alīgarh,25.96517,76.08302
IN.36,Uttar Pradesh,Alīganj,27.49358,79.17127
IN.16,Maharashtra,Alībāg,18.64813,72.87579
IN.33,Goa,Aldona,15.59337,73.87482
IN.23,Punjab,Alāwalpur,31.43161,75.65614
IN.13,Kerala,Alattūr,10.65,76.53333
IN.25,Tamil Nadu,Ālappākkam,11.59895,79.71893
IN.25,Tamil Nadu,Ālangulam,8.86404,77.49937
IN.25,Tamil Nadu,Ālangudi,10.3606,78.98492
IN.25,Tamil Nadu,Alangāyam,12.62235,78.75207
IN.25,Tamil Nadu,Alangānallūr,10.04697,78.09033
IN.25,Tamil Nadu,Ālāndurai,10.95322,76.79003
IN.25,Tamil Nadu,Alandur,13.0025,80.20611
IN.16,Maharashtra,Alandi,18.67756,73.89868
IN.19,Karnataka,Aland,17.56425,76.56854
IN.35,Madhya Pradesh,Alampur,26.02514,78.79697
IN.40,Telangana,Ālampur,15.87987,78.13352
IN.25,Tamil Nadu,Azhagiapāndipuram,8.30066,77.44394
IN.25,Tamil Nadu,Alagāpuram,11.88705,78.91758
IN.16,Maharashtra,Akot,21.0963,77.0588
IN.16,Maharashtra,Akola,20.70957,76.9981
IN.35,Madhya Pradesh,Akodia,23.38027,76.59875
IN.16,Maharashtra,Aklūj,17.89241,75.02138
IN.24,Rajasthan,Aklera,24.41288,76.56719
IN.02,Andhra Pradesh,Akivīdu,16.58225,81.38112
IN.12,Jammu and Kashmir,Akhnūr,32.8955,74.73486
IN.36,Uttar Pradesh,Akbarpur,26.42953,82.53431
IN.36,Uttar Pradesh,Akbarpur,26.38371,79.94926
IN.37,Chhattisgarh,Akaltara,22.02463,82.42641
IN.16,Maharashtra,Akalkot,17.52532,76.20611
IN.23,Punjab,Akālgarh,29.82074,75.89078
IN.16,Maharashtra,Ajara,16.11601,74.21097
IN.23,Punjab,Ajnāla,31.84473,74.76295
IN.24,Rajasthan,Ajmer,26.4521,74.63867
IN.19,Karnataka,Ajjampur,13.72794,76.0068
IN.35,Madhya Pradesh,Ajaigarh,24.89879,80.25921
IN.31,Mizoram,Aizawl,23.72894,92.71791
